,date,glow-mean,Z,Q,correct_maxRiverWidth
0,2001-05-31,225.0615334384415,91.05,238.0,245.3589202880859
1,2001-06-07,234.882559780012,91.18,335.0,242.25305277506513
2,2001-06-08,225.0615334384415,91.17,331.0,230.86509659378623
3,2001-06-15,160.7768359859985,90.78,194.0,175.99702329282408
4,2001-06-23,110.56790951495724,90.58,142.0,125.26864318847656
5,2001-08-03,152.36797868859162,93.44,1520.0,245.3570874249493
6,2001-08-11,243.3833457023145,91.73,572.0,242.2531684027778
7,2001-08-27,242.49924192254,91.78,595.0,243.28844547978147
8,2002-06-26,105.63528747525774,90.565,144.0,101.45718621148005
9,2002-07-05,110.19849894585036,90.65,167.0,110.77450267650462
10,2002-07-20,169.2968195091155,90.84,230.5,204.98311010290075
11,2002-07-29,146.384839335113,90.75,199.0,162.5379590069806
12,2002-09-06,130.29839767375523,90.61,156.0,143.90317959255643
13,2002-09-14,136.5748764399985,90.62,159.0,139.76272368254484
14,2002-09-15,105.83159424828884,90.58,148.0,124.233080263491
15,2002-09-22,97.38201339001736,90.39,106.0,106.63348026982061
16,2002-09-23,108.7590040835976,90.37,103.0,100.42187884295429
17,2002-10-17,90.11213695956296,90.34,97.8,93.17473845305267
18,2003-10-12,149.8162436969625,91.28,401.0,174.96005045572917
19,2004-05-07,263.43189637779847,92.6,1130.0,258.8173997667101
20,2004-06-08,132.0891540694765,90.63,272.5,139.76218634711373
21,2004-07-10,117.845815401568,90.58,156.0,115.95072326660154
22,2004-07-17,121.4055437054875,90.39,113.0,116.98626855920863
23,2004-07-26,132.0891540694765,91.09,320.0,138.7269094961661
24,2004-08-02,121.4055437054875,90.55,148.0,124.23343946668834
25,2004-08-11,109.525129211916,90.46,128.0,113.88035210503473
26,2004-08-18,124.245538213193,90.43,121.0,124.23331739637587
27,2004-09-03,200.3942168088295,91.71,470.0,241.2175375479239
28,2004-09-28,180.291394195421,91.52,390.0,210.15944586859808
29,2005-06-02,150.91926895086002,91.25,355.0,200.84239807128907
30,2005-06-18,124.1857488551365,90.85,232.0,135.6211576108579
31,2005-07-13,147.253679286351,91.11,308.0,161.5028340657552
32,2005-08-05,105.4317653866374,90.22,115.0,116.98646353262443
33,2005-08-14,94.94044264336895,90.06,77.6,100.42171393500435
34,2005-08-21,113.7824005532245,90.15,92.0,114.91581194842301
35,2006-05-20,97.7488328763175,90.3,117.0,102.49247549551505
36,2006-06-05,82.03836600414496,90.23,104.0,102.49242678041811
37,2006-08-08,178.782823018796,91.8,620.0,251.570460679796
38,2006-09-02,110.19849894585036,90.7,209.0,130.44483326099538
39,2006-10-04,93.3851067236895,90.16,91.8,106.63324223271124
40,2006-10-11,93.16920632038064,90.08,79.7,109.739256117079
41,2006-10-20,93.3851067236895,89.98,65.9,101.45697270146125
42,2007-06-17,126.3462640984346,90.42,139.0,131.48048773871528
43,2007-08-04,139.2675163542331,90.46666666666664,149.33333333333334,211.19524728280533
44,2007-09-05,136.75885080499185,90.43333333333334,142.0,212.2306644015842
45,2008-06-10,100.0286895647686,90.31,126.0,128.37491251627605
46,2008-08-06,121.5179584146286,90.59,189.0,219.47741495768233
47,2008-09-07,160.4623805814175,90.54,177.0,223.61843759042245
48,2008-09-30,195.1080187357105,90.57,184.0,241.21811071325232
49,2009-05-05,244.033313092609,91.07,335.0,241.21763565628623
50,2009-05-21,188.654246054086,90.67,196.0,238.1118591308594
51,2009-09-17,230.1567511280195,91.38833333333334,467.8333333333333,284.6994656032987
52,2010-05-31,149.1376500879665,90.98,322.0,236.04095187717013
53,2010-06-09,81.3910739584692,90.35,119.0,104.56268819173178
54,2010-06-25,89.018202026128,90.14,72.0,99.38631512677227
55,2010-08-28,245.172913191892,91.976,804.8,268.13489300763166
56,2010-09-20,90.163261447344,90.71428571428572,225.28571428571428,185.31201047544127
57,2011-05-11,91.08581331748204,90.55,176.0,111.80978563096788
58,2011-06-12,232.01909193932948,92.09,890.0,252.60559748896847
59,2011-07-05,89.6615091564079,90.56714285714284,180.0,147.0082412154586
60,2011-08-06,151.6559476206765,91.11090909090908,345.45454545454544,237.07613107186776
61,2011-09-23,95.87314514178404,90.29,115.0,122.16268412272136
62,2013-09-12,237.112530353867,91.54,393.0,262.95872768825956
63,2013-09-28,244.757891140898,92.09,646.0,284.69913070113563
64,2014-06-27,157.990541659852,90.5375,108.0,177.03345913357205
65,2014-07-29,242.66526360890447,91.28,325.0,263.99357186776626
66,2014-08-23,147.46349442974264,90.57,114.0,181.17406107584637
67,2014-08-30,146.56747318981814,90.56,112.0,196.70322898582177
68,2014-10-01,214.7161205189185,90.63,127.0,219.478616672092
69,2014-10-10,161.74828623532,90.5,100.0,165.6453138563368
70,2015-05-22,245.3224647226305,92.62,1020.0,276.41697512026184
71,2015-06-14,233.334822670864,91.63,482.0,272.2757269965278
72,2015-08-26,251.65024422128351,92.92,1230.0,260.887771041305
73,2015-09-02,244.757891140898,92.0,660.0,280.5579615840205
74,2015-10-20,216.814847009476,90.66,144.0,215.33731960720488
75,2016-06-25,241.493945535727,91.56,487.0,256.74684583875865
76,2016-08-19,224.5501532175305,91.01,275.0,265.0291414614077
77,2016-08-28,209.55151145262948,90.62,149.0,217.40765380859378
78,2016-09-13,250.450665169406,92.1,737.0,275.3816739682798
79,2016-10-06,244.757891140898,91.03,282.0,274.3469275580512
80,2017-05-11,181.481361638701,90.54,155.0,185.31485810456454
81,2017-06-12,224.716385370639,91.04,278.0,243.28835415310328
82,2017-07-05,136.40381487007755,90.4,125.0,170.8216380931713
83,2017-07-21,215.49564750112552,90.73,198.0,238.11285321270978
84,2017-08-15,234.0829030635195,91.5,450.0,251.5702594898365
85,2017-08-31,251.65024422128351,92.54,985.0,269.16996301721645
86,2017-10-09,239.840874791592,90.93,248.0,262.9589716028284
87,2017-10-25,215.0623209309,90.48,142.0,190.49158472131796
88,2018-08-02,235.222503162803,91.15,366.0,240.18297435619215
89,2018-09-10,211.650212031866,90.83,256.0,251.57100355360242
90,2018-10-05,237.67514826691303,91.3,423.0,260.88774685329867
91,2002-10-16,76.9932803964496,90.32,95.4,101.45706481933594
92,2011-07-21,241.773291712216,90.95,288.42857142857144,228.79374412254052
