stationid,date,width
humaqiao,1985-06-04,169.145505951947
humaqiao,1986-06-07,162.353141769615
humaqiao,1986-07-25,203.697087632758
humaqiao,1987-06-10,203.697087632758
humaqiao,1987-09-14,212.264973286517
humaqiao,1988-06-03,186.428445189765
humaqiao,1988-06-28,205.9371937878645
humaqiao,1988-07-05,203.895911924285
humaqiao,1988-09-23,203.895911924285
humaqiao,1988-10-18,199.3868367415225
humaqiao,1988-10-25,170.7775062917105
humaqiao,1989-04-28,217.708649005395
humaqiao,1989-05-05,203.895911924285
humaqiao,1989-05-21,186.57791858490748
humaqiao,1989-05-30,198.310065720206
humaqiao,1989-08-09,212.5653688425445
humaqiao,1989-09-26,197.603828378267
humaqiao,1989-10-12,184.390380247678
humaqiao,1990-05-24,166.7599441526435
humaqiao,1990-06-25,220.21072962957496
humaqiao,1990-07-04,217.708649005395
humaqiao,1990-07-20,217.708649005395
humaqiao,1990-08-12,220.1127586523725
humaqiao,1990-09-06,217.708649005395
humaqiao,1990-10-08,215.644837881205
humaqiao,1991-05-04,198.310065720206
humaqiao,1991-06-05,205.9371937878645
humaqiao,1991-06-12,200.807785802465
humaqiao,1991-06-21,217.708649005395
humaqiao,1991-07-14,256.37603028554247
humaqiao,1991-09-16,236.0185575830945
humaqiao,1991-10-27,202.497888421358
humaqiao,1992-04-20,245.982357758533
humaqiao,1992-05-29,165.76312886105848
humaqiao,1992-07-09,202.497888421358
humaqiao,1992-08-17,236.0783469411515
humaqiao,1992-09-27,242.49924192254
humaqiao,1992-10-04,276.107255507061
humaqiao,1993-05-09,120.0067042578124
humaqiao,1993-06-10,209.3170583825525
humaqiao,1993-09-21,234.3127311909015
humaqiao,1994-05-03,239.327892773369
humaqiao,1994-05-12,248.8270214211925
humaqiao,1994-06-13,236.4257872014265
humaqiao,1994-07-22,172.75055510759
humaqiao,1994-09-08,203.2031066278605
humaqiao,1994-10-19,256.454149488851
humaqiao,1995-05-06,231.7944336581915
humaqiao,1995-05-15,205.836521378556
humaqiao,1995-07-09,175.92862665043452
humaqiao,1995-07-25,234.942349138069
humaqiao,1995-08-03,243.3833457023145
humaqiao,1995-08-10,234.882559780012
humaqiao,1995-08-26,251.2571668433595
humaqiao,1995-09-11,234.942349138069
humaqiao,1995-10-13,230.684932542938
humaqiao,1996-06-18,243.3833457023145
humaqiao,1996-08-12,234.942349138069
humaqiao,1996-09-13,183.573987437465
humaqiao,1996-09-29,214.942742214786
humaqiao,1996-10-24,168.395023611447
humaqiao,1997-04-18,239.016126086547
humaqiao,1997-05-20,243.3833457023145
humaqiao,1997-06-05,237.055566203662
humaqiao,1997-06-28,234.942349138069
humaqiao,1997-09-25,190.808088767047
humaqiao,1997-10-02,172.75055510759
humaqiao,1997-10-18,142.45104922962048
humaqiao,1998-09-28,131.7009534507505
humaqiao,1998-10-05,124.245538213193
humaqiao,1999-05-01,88.32626831776659
humaqiao,1999-07-04,150.911591906599
humaqiao,1999-07-13,126.015779399708
humaqiao,1999-07-28,227.25941662774895
humaqiao,1999-08-14,179.027687322651
humaqiao,1999-09-30,225.078334632449
humaqiao,2000-04-26,245.982357758533
humaqiao,2000-05-03,258.90252763038995
humaqiao,2000-05-20,157.924582179643
humaqiao,2000-05-27,141.584452049713
humaqiao,2000-05-28,157.763739575709
humaqiao,2000-06-13,97.4058190124347
humaqiao,2000-06-28,85.48627381006075
humaqiao,2000-07-07,248.8270214211925
humaqiao,2000-07-31,248.8270214211925
humaqiao,2000-08-16,243.3833457023145
humaqiao,2000-09-01,219.13743988723
humaqiao,2000-09-17,169.578310504043
humaqiao,2000-10-02,194.7178293867765
humaqiao,2000-10-03,182.8234460780335
humaqiao,2001-05-22,234.882559780012
humaqiao,2001-05-31,225.0615334384415
humaqiao,2001-06-07,234.882559780012
humaqiao,2001-06-08,225.0615334384415
humaqiao,2001-06-15,160.7768359859985
humaqiao,2001-06-16,153.815579164215
humaqiao,2001-06-23,110.56790951495724
humaqiao,2001-07-25,236.0185575830945
humaqiao,2001-08-03,152.36797868859162
humaqiao,2001-08-11,243.3833457023145
humaqiao,2001-08-26,161.841794228986
humaqiao,2001-08-27,242.49924192254
humaqiao,2001-09-04,243.3833457023145
humaqiao,2001-09-20,123.991995469305
humaqiao,2001-09-28,97.4058190124347
humaqiao,2001-10-13,107.85376693788812
humaqiao,2001-10-29,82.301677450822
humaqiao,2002-04-24,238.1323372249785
humaqiao,2002-05-26,164.159003180865
humaqiao,2002-06-26,105.63528747525774
humaqiao,2002-07-05,110.19849894585036
humaqiao,2002-07-20,169.2968195091155
humaqiao,2002-07-29,146.384839335113
humaqiao,2002-09-06,130.29839767375523
humaqiao,2002-09-14,136.5748764399985
humaqiao,2002-09-15,105.83159424828884
humaqiao,2002-09-22,97.38201339001736
humaqiao,2002-09-23,108.7590040835976
humaqiao,2002-10-16,76.9932803964496
humaqiao,2002-10-17,90.11213695956296
humaqiao,2003-10-12,149.8162436969625
humaqiao,2003-10-19,130.9718409946015
humaqiao,2004-05-07,263.43189637779847
humaqiao,2004-06-08,132.0891540694765
humaqiao,2004-07-10,117.845815401568
humaqiao,2004-07-17,121.4055437054875
humaqiao,2004-07-26,132.0891540694765
humaqiao,2004-08-02,121.4055437054875
humaqiao,2004-08-11,109.525129211916
humaqiao,2004-08-18,124.245538213193
humaqiao,2004-09-03,200.3942168088295
humaqiao,2004-09-28,180.291394195421
humaqiao,2005-06-02,150.91926895086002
humaqiao,2005-06-18,124.1857488551365
humaqiao,2005-06-27,94.5268292879292
humaqiao,2005-07-13,147.253679286351
humaqiao,2005-08-05,105.4317653866374
humaqiao,2005-08-14,94.94044264336895
humaqiao,2005-08-21,113.7824005532245
humaqiao,2005-10-08,97.7864045996069
humaqiao,2005-10-24,99.89550910178926
humaqiao,2006-05-04,114.1040975282205
humaqiao,2006-05-20,97.7488328763175
humaqiao,2006-06-05,82.03836600414496
humaqiao,2006-08-08,178.782823018796
humaqiao,2006-09-02,110.19849894585036
humaqiao,2006-10-04,93.3851067236895
humaqiao,2006-10-11,93.16920632038064
humaqiao,2006-10-20,93.3851067236895
humaqiao,2007-06-17,126.3462640984346
humaqiao,2007-08-04,139.2675163542331
humaqiao,2007-09-05,136.75885080499185
humaqiao,2007-09-28,82.301677450822
humaqiao,2008-06-10,100.0286895647686
humaqiao,2008-08-06,121.5179584146286
humaqiao,2008-09-07,160.4623805814175
humaqiao,2008-09-30,195.1080187357105
humaqiao,2009-04-19,254.113086264378
humaqiao,2009-05-05,244.033313092609
humaqiao,2009-05-21,188.654246054086
humaqiao,2009-07-24,244.033313092609
humaqiao,2009-08-09,234.0829030635195
humaqiao,2009-09-10,252.931243088323
humaqiao,2009-09-17,230.1567511280195
humaqiao,2009-09-26,255.21044328689
humaqiao,2009-10-12,191.1915240477445
humaqiao,2010-05-31,149.1376500879665
humaqiao,2010-06-09,81.3910739584692
humaqiao,2010-06-25,89.018202026128
humaqiao,2010-08-28,245.172913191892
humaqiao,2010-09-13,142.08389938214586
humaqiao,2010-09-20,90.163261447344
humaqiao,2010-09-29,92.2433841594498
humaqiao,2011-05-11,91.08581331748204
humaqiao,2011-06-12,232.01909193932948
humaqiao,2011-07-05,89.6615091564079
humaqiao,2011-07-21,241.773291712216
humaqiao,2011-08-06,151.6559476206765
humaqiao,2011-09-23,95.87314514178404
humaqiao,2011-10-18,84.189896342322
humaqiao,2013-06-24,223.23095370918
humaqiao,2013-08-20,270.505076198325
humaqiao,2013-09-05,242.86981961852047
humaqiao,2013-09-12,237.112530353867
humaqiao,2013-09-28,244.757891140898
humaqiao,2014-04-24,110.59617810857476
humaqiao,2014-06-20,224.8461443640645
humaqiao,2014-06-27,157.990541659852
humaqiao,2014-07-29,242.66526360890447
humaqiao,2014-08-23,147.46349442974264
humaqiao,2014-08-30,146.56747318981814
humaqiao,2014-10-01,214.7161205189185
humaqiao,2014-10-10,161.74828623532
humaqiao,2015-04-27,142.07020213862364
humaqiao,2015-05-22,245.3224647226305
humaqiao,2015-06-14,233.334822670864
humaqiao,2015-07-09,213.630080229012
humaqiao,2015-07-16,105.707585044713
humaqiao,2015-08-26,251.65024422128351
humaqiao,2015-09-02,244.757891140898
humaqiao,2015-10-04,234.56407675819048
humaqiao,2015-10-20,216.814847009476
humaqiao,2016-04-29,215.0623209309
humaqiao,2016-06-25,241.493945535727
humaqiao,2016-08-19,224.5501532175305
humaqiao,2016-08-28,209.55151145262948
humaqiao,2016-09-13,250.450665169406
humaqiao,2016-10-06,244.757891140898
humaqiao,2017-05-11,181.481361638701
humaqiao,2017-06-12,224.716385370639
humaqiao,2017-07-05,136.40381487007755
humaqiao,2017-07-21,215.49564750112552
humaqiao,2017-08-15,234.0829030635195
humaqiao,2017-08-31,251.65024422128351
humaqiao,2017-10-09,239.840874791592
humaqiao,2017-10-25,215.0623209309
humaqiao,2018-04-19,85.81679027511726
humaqiao,2018-08-02,235.222503162803
humaqiao,2018-09-10,211.650212031866
humaqiao,2018-09-19,178.7823087719775
humaqiao,2018-09-26,224.5501532175305
humaqiao,2018-10-05,237.67514826691303
humaqiao,2019-06-25,132.62610718707415
humaqiao,2019-08-12,224.5501532175305
humaqiao,2019-09-06,232.707028980726
humaqiao,2019-09-22,219.17813334394447
humaqiao,2019-09-29,180.237042459761
humaqiao,2019-10-08,127.6404505974707
humaqiao,2020-04-17,151.106866658087
humaqiao,2020-05-03,86.7784436909613
humaqiao,2020-05-26,124.9893622879458
humaqiao,2020-07-13,118.20485801624385
humaqiao,2020-07-22,80.4075484815053
humaqiao,2020-09-15,244.757891140898
tonghe,1984-05-02,1091.38377158587
tonghe,1984-05-18,1088.7663965816234
tonghe,1984-06-19,843.4792530101986
tonghe,1984-07-05,1079.04680718917
tonghe,1984-07-21,1094.5524927043869
tonghe,1984-07-30,1095.0492452394733
tonghe,1985-05-14,888.0887581951993
tonghe,1985-09-10,1682.19399333963
tonghe,1985-10-05,1115.7659055673532
tonghe,1986-05-01,573.3841394578684
tonghe,1986-07-20,873.783422612191
tonghe,1986-08-21,1696.1665418992668
tonghe,1986-10-15,1128.08393774089
tonghe,1987-05-27,331.75157911580334
tonghe,1987-06-21,325.66894324194334
tonghe,1987-09-16,1113.13476491874
tonghe,1988-05-13,1112.6548299483668
tonghe,1988-05-29,1108.1164895346535
tonghe,1988-06-30,1099.15898341722
tonghe,1988-08-26,1686.8149908122166
tonghe,1988-09-27,1122.7562291427432
tonghe,1988-10-04,1115.7659055673532
tonghe,1988-10-13,1138.84402725981
tonghe,1988-11-05,1102.522406639435
tonghe,1989-06-01,358.27722223158736
tonghe,1989-06-26,689.301647296376
tonghe,1989-07-03,759.993784314332
tonghe,1989-08-04,1117.6181156581
tonghe,1989-09-14,1117.73385669837
tonghe,1989-10-23,750.1417448869433
tonghe,1989-11-01,739.8315326492137
tonghe,1990-06-29,782.8282681666716
tonghe,1990-08-07,1108.1164895346535
tonghe,1990-08-16,1109.3095155687367
tonghe,1990-10-10,1099.3319560057737
tonghe,1990-10-19,1110.7516317141233
tonghe,1990-10-26,1104.17725880131
tonghe,1990-11-04,866.920570633476
tonghe,1991-06-07,355.5650588946957
tonghe,1991-07-02,764.0913009756133
tonghe,1991-08-03,1185.18734384885
tonghe,1991-08-26,1686.2921662894869
tonghe,1991-09-04,1678.2133468973368
tonghe,1992-06-25,309.52378602245034
tonghe,1992-07-11,292.65849019808
tonghe,1992-07-27,318.3031139586987
tonghe,1992-09-22,455.987450391905
tonghe,1992-10-15,1105.7333563300367
tonghe,1993-04-25,311.66840363122066
tonghe,1993-05-11,300.5896157170713
tonghe,1993-06-28,356.3449508023877
tonghe,1993-07-14,1108.9464667424063
tonghe,1993-10-02,1122.63639104219
tonghe,1994-05-23,358.97093038088434
tonghe,1994-06-15,352.18799200359166
tonghe,1994-07-26,1125.6514533329266
tonghe,1994-08-18,1164.3643020282634
tonghe,1994-09-03,1127.6587634865634
tonghe,1994-09-12,1134.64098847081
tonghe,1995-05-17,448.2955967015144
tonghe,1995-05-26,398.648248921512
tonghe,1995-09-22,576.5300154813823
tonghe,1996-04-26,471.8460873874503
tonghe,1996-05-03,452.1677020910936
tonghe,1996-06-20,305.68020915148264
tonghe,1996-06-29,361.9718526056663
tonghe,1996-08-23,1130.6697287170134
tonghe,1996-09-17,1134.64098847081
tonghe,1996-10-19,592.9131984257086
tonghe,1997-07-18,529.2569223936811
tonghe,1997-08-10,592.090784563241
tonghe,1997-09-04,1127.6628605468468
tonghe,1997-09-11,1125.90878157657
tonghe,1997-11-14,698.227943237172
tonghe,1998-05-18,518.5898288273294
tonghe,1998-05-25,279.7278147778573
tonghe,1998-09-23,1659.62358451235
tonghe,1999-05-21,950.8709364196252
tonghe,1999-06-29,953.4791140406392
tonghe,1999-06-30,933.9413135117962
tonghe,1999-07-15,956.0842493816932
tonghe,1999-08-16,984.025487531186
tonghe,1999-08-24,1119.602846474707
tonghe,1999-09-17,979.835320529916
tonghe,1999-10-03,1132.6730373397966
tonghe,1999-10-19,995.4412526348194
tonghe,1999-11-12,958.3158010912388
tonghe,2000-04-28,953.7445083669924
tonghe,2000-04-29,948.5074670340376
tonghe,2000-06-08,910.3174706676608
tonghe,2000-06-16,913.3788423034556
tonghe,2000-07-09,876.7337194050291
tonghe,2000-07-10,885.736816753088
tonghe,2000-08-02,935.3226457020816
tonghe,2000-08-03,951.144692042846
tonghe,2000-08-11,953.965421784232
tonghe,2000-08-18,1122.42027488572
tonghe,2000-09-03,961.3239607755804
tonghe,2000-09-11,959.8098467100943
tonghe,2000-09-12,961.493729765749
tonghe,2000-09-19,967.1719601691688
tonghe,2000-09-27,954.3677334064024
tonghe,2000-09-28,942.0561651636616
tonghe,2000-10-13,960.143677310823
tonghe,2000-10-14,939.4641858809734
tonghe,2001-04-15,1128.6892353738867
tonghe,2001-06-03,910.9860405147588
tonghe,2001-06-10,882.4854288354467
tonghe,2001-08-13,941.6690572239796
tonghe,2001-08-30,1136.731065529263
tonghe,2001-09-07,963.9185479476836
tonghe,2001-09-14,952.5103944533856
tonghe,2002-04-26,939.2588147328348
tonghe,2002-05-28,743.7349589863466
tonghe,2002-06-05,769.204968284706
tonghe,2002-09-18,937.69421367881
tonghe,2002-09-25,997.147733779344
tonghe,2003-04-21,905.8491388330846
tonghe,2003-05-08,692.489516084162
tonghe,2003-09-12,1419.2754662932
tonghe,2003-11-15,946.399946204825
tonghe,2004-06-26,966.285924962347
tonghe,2004-08-22,963.0316682969768
tonghe,2004-09-14,901.389464439925
tonghe,2005-06-29,993.4961026624624
tonghe,2005-07-24,1159.69456398624
tonghe,2005-08-09,1162.20329077906
tonghe,2006-05-31,890.4755684892921
tonghe,2006-07-02,1031.0581355127622
tonghe,2006-08-19,1130.2709286545637
tonghe,2006-09-20,1026.4686204112925
tonghe,2006-10-06,1031.2683295344036
tonghe,2006-10-15,975.600717467768
tonghe,2007-05-02,1041.6495888421405
tonghe,2007-06-03,1043.0468341451603
tonghe,2007-07-05,1005.5097816763524
tonghe,2007-07-14,1007.172966472455
tonghe,2007-07-21,972.73234633458
tonghe,2007-07-30,937.6602595691104
tonghe,2007-08-22,984.637101393214
tonghe,2007-08-31,892.8770684380097
tonghe,2007-10-02,949.8612886888028
tonghe,2008-04-11,826.4437836557936
tonghe,2008-05-13,745.891268145618
tonghe,2008-05-20,811.7129666723109
tonghe,2008-07-07,911.111174993756
tonghe,2008-08-17,989.7987281331074
tonghe,2009-05-23,969.407471645551
tonghe,2009-06-24,1043.9773785259138
tonghe,2009-07-26,1138.24517959475
tonghe,2009-08-04,1056.1261512598833
tonghe,2009-09-12,1069.78075057633
tonghe,2009-09-21,1150.24146323077
tonghe,2009-09-28,1076.96503141698
tonghe,2009-10-07,1068.69663290895
tonghe,2010-05-03,1024.35870453999
tonghe,2010-06-04,1061.35633839385
tonghe,2010-07-29,1047.8176163940786
tonghe,2010-09-08,1143.3144431223366
tonghe,2010-09-15,1147.84893591507
tonghe,2011-06-14,1081.8068638454167
tonghe,2011-07-25,1061.35633839385
tonghe,2011-08-01,1056.0452541098266
tonghe,2011-08-26,1081.88071557611
tonghe,2011-09-02,1071.9804013579633
tonghe,2011-09-11,1059.5058544536666
tonghe,2011-09-18,1047.0828834670167
tonghe,2011-10-04,1008.630847366294
tonghe,2013-07-14,1693.8053143876034
tonghe,2013-07-21,1652.56164310462
tonghe,2014-04-12,1109.80628236311
tonghe,2014-04-28,1105.00096583576
tonghe,2014-05-30,1130.2709286545637
tonghe,2014-06-22,1139.79793606117
tonghe,2014-09-19,1138.24517959475
tonghe,2014-10-05,1120.87448029436
tonghe,2015-07-04,1138.24517959475
tonghe,2015-08-05,1107.1835645491135
tonghe,2015-09-06,1129.5457682688832
tonghe,2015-09-13,1118.097403766295
tonghe,2015-09-29,1118.097403766295
tonghe,2015-10-24,994.902437863036
tonghe,2016-06-04,1143.15105507401
tonghe,2016-07-06,1138.24517959475
tonghe,2016-08-23,617.3192561122237
tonghe,2017-05-29,836.181058716114
tonghe,2017-06-23,1137.59690201788
tonghe,2017-07-16,1119.9959937388
tonghe,2017-09-02,1120.3913571924031
tonghe,2017-09-27,1118.097403766295
tonghe,2017-10-04,822.78277985763
tonghe,2018-04-30,786.280997184523
tonghe,2018-05-09,516.8611388387603
tonghe,2018-06-17,617.4677715460236
tonghe,2018-07-28,1154.53955202104
tonghe,2018-10-07,1153.6132790240365
tonghe,2019-05-03,533.2946914867475
tonghe,2019-06-04,1112.779372153953
tonghe,2019-09-01,1687.208267192863
tonghe,2019-09-17,1682.19399333963
tonghe,2019-09-24,1682.0956742444698
tonghe,2020-04-12,1122.38334177908
tonghe,2020-07-01,1149.52320466532
tonghe,2020-07-24,1117.7739821881532
