ID,glow_lat,glow_lon,index_righ,COMID,id_1,Width,gage_lat,gage_lon,STCD,stationid,Width_deg,geometry,q50
R42012937XS0111499,51.66953911617321,126.61083333266544,8,42012937,1587.0,273.9594031,51.666056,126.616417,10400070,humaqiao,0.002465437392909,POINT (126.6108333326654 51.66953911617321),73.72254
R42012937XS0111500,51.667964824378934,126.60999999933352,8,42012937,1587.0,273.9594031,51.666056,126.616417,10400070,humaqiao,0.002465437392909,POINT (126.6099999993335 51.66796482437893),73.72254
R42037498XS0194266,46.83250000082434,130.3380113355351,18,42037498,2512.0,1163.564179,46.828028,130.333417,11121820,jiamusi,0.010471239911807,POINT (130.3380113355351 46.83250000082434),844.3086
R42043227XS0214067,45.99047938969314,129.58868728001764,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5886872800176 45.99047938969314),77.66107
R42043227XS0214068,45.98909826997934,129.59006839762588,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5900683976259 45.98909826997934),77.66107
R42043227XS0214069,45.987717175447784,129.5914494936194,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5914494936194 45.98771717544778),77.66107
R42043227XS0214070,45.98626371398704,129.59249999924603,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.592499999246 45.98626371398704),77.66107
R42045560XS0223098,45.96801041926237,128.7513437475538,19,42045560,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7513437475538 45.96801041926237),622.0312
R42045560XS0223099,45.96750000061931,128.7501952339865,19,42045560,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7501952339865 45.96750000061931),622.0312
R42045560XS0223100,45.96673626705578,128.74923626542972,19,42045560,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7492362654297 45.96673626705578),622.0312
R42047856XS0237394,45.54150259762402,124.35433073768527,20,42047856,2595.0,483.7561514,45.5467,124.2647,11420330,dalai,0.004353457086033,POINT (124.3543307376853 45.54150259762402),198.96176
R42047856XS0237395,45.54333333350112,124.35162249758783,20,42047856,2595.0,483.7561514,45.5467,124.2647,11420330,dalai,0.004353457086033,POINT (124.3516224975878 45.54333333350112),198.96176
R42047860XS0237620,45.19294231462545,124.75539102177318,16,42047860,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7553910217732 45.19294231462545),181.97258
R42047860XS0237621,45.192500000037185,124.75749067097686,16,42047860,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7574906709769 45.19250000003719),181.97258
R42047860XS0237622,45.19166666712894,124.75930403493412,16,42047860,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7593040349341 45.19166666712894),181.97258
R42060702XS0287916,41.74166666732523,125.95228269576893,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9522826957689 41.74166666732523),15.403708
R42060702XS0287917,41.74250000057314,125.95398898587851,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9539889858785 41.74250000057314),15.403708
R42060702XS0287918,41.74333333380555,125.95569528094185,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9556952809419 41.74333333380555),15.403708
R42060702XS0287919,41.7446072130013,125.95710720820446,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9571072082045 41.7446072130013),15.403708
R43044183XS0477981,32.43460501348202,115.41627167669299,7,43044183,1527.0,246.1995238,32.4347,115.4159,50100700,huaibin,0.002215618464723,POINT (115.416271676693 32.43460501348202),67.85171
R43044183XS0477982,32.434166667238046,115.41227816791509,7,43044183,1527.0,246.1995238,32.4347,115.4159,50100700,huaibin,0.002215618464723,POINT (115.4122781679151 32.43416666723805),67.85171
R42020496XS1751182,50.047768382820145,125.3194350446659,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3194350446659 50.04776838282014),24.087688
R42020496XS1751183,50.04862291206586,125.32112290705923,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3211229070592 50.04862291206586),24.087688
R42020496XS1751184,50.04947744862102,125.32281077679049,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3228107767905 50.04947744862102),24.087688
R42020496XS1751185,50.05078314372783,125.32411647581127,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3241164758113 50.05078314372783),24.087688
R42025877XS1764141,49.24886235857282,125.07969568687388,10,42025877,1640.0,100.0,49.25,125.083333,11200260,liujiatun,0.00089992800576,POINT (125.0796956868739 49.24886235857282),23.484222
R42025877XS1764142,49.2515174207272,125.08151741753557,10,42025877,1640.0,100.0,49.25,125.083333,11200260,liujiatun,0.00089992800576,POINT (125.0815174175356 49.2515174207272),23.484222
R42025887XS1764723,49.3651399279101,128.9316666662592,11,42025887,1694.0,173.5048628,49.359683,128.9328,10400171,shuanghetun,0.001561418851692,POINT (128.9316666662592 49.3651399279101),22.942959
R42026066XS1767713,49.367178080188815,128.93884474152014,2,42026066,710.0,148.4414869,49.365998,128.936576,10400241,kuerbin,0.001335866512779,POINT (128.9388447415201 49.36717808018881),11.201944
R42045708XS1786689,45.808860478947295,128.7230271406904,13,42045708,1827.0,230.7806383,45.807028,128.7205,11021670,lianhua,0.002076859595932,POINT (128.7230271406904 45.8088604789473),14.14196
R42045708XS1786690,45.80728765629644,128.7224999994401,13,42045708,1827.0,230.7806383,45.807028,128.7205,11021670,lianhua,0.002076859595932,POINT (128.7224999994401 45.80728765629644),14.14196
R42045708XS1786691,45.80559872311291,128.7224999994036,13,42045708,1827.0,230.7806383,45.807028,128.7205,11021670,lianhua,0.002076859595932,POINT (128.7224999994036 45.80559872311291),14.14196
R42045708XS1786692,45.80409338278005,128.72166666643017,13,42045708,1827.0,230.7806383,45.807028,128.7205,11021670,lianhua,0.002076859595932,POINT (128.7216666664302 45.80409338278005),14.14196
R42059330XS1798731,42.328819339500704,123.8363193348935,17,42059330,2226.0,100.0,42.333333,123.833333,20600200,tieling,0.00089992800576,POINT (123.8363193348935 42.3288193395007),108.401436
R42059330XS1798732,42.3296975463069,123.83803087525774,17,42059330,2226.0,100.0,42.333333,123.833333,20600200,tieling,0.00089992800576,POINT (123.8380308752577 42.3296975463069),108.401436
R42059330XS1798733,42.3311309305069,123.83916666608242,17,42059330,2226.0,100.0,42.333333,123.833333,20600200,tieling,0.00089992800576,POINT (123.8391666660824 42.3311309305069),108.401436
R42061735XS1802265,41.18385447705138,122.71718780609112,4,42061735,1006.0,100.0,41.183333,122.716666,21110800,tangmazhai,0.00089992800576,POINT (122.7171878060911 41.18385447705138),37.913963
R42061735XS1802266,41.18522429923461,122.71855762896274,4,42061735,1006.0,100.0,41.183333,122.716666,21110800,tangmazhai,0.00089992800576,POINT (122.7185576289627 41.18522429923461),37.913963
R42061735XS1802267,41.18676253693481,122.71926253506882,4,42061735,1006.0,100.0,41.183333,122.716666,21110800,tangmazhai,0.00089992800576,POINT (122.7192625350688 41.18676253693481),37.913963
R42061756XS1802714,41.2641666667597,122.68169069603108,14,42061756,1931.0,100.0,41.266666,122.683333,21101000,xingjiawopeng,0.00089992800576,POINT (122.6816906960311 41.2641666667597),32.478508
R43004870XS1827576,39.72956092214573,118.75833333282017,15,43004870,1975.0,552.5258919,39.733333,118.75,30101400,luanxian,0.004972335240281,POINT (118.7583333328202 39.72956092214573),36.04438
R43004870XS1827577,39.73130077384156,118.75833333282637,15,43004870,1975.0,552.5258919,39.733333,118.75,30101400,luanxian,0.004972335240281,POINT (118.7583333328264 39.73130077384156),36.04438
R43004870XS1827578,39.73282113552724,118.75916666617911,15,43004870,1975.0,552.5258919,39.733333,118.75,30101400,luanxian,0.004972335240281,POINT (118.7591666661791 39.73282113552724),36.04438
R43027816XS1857028,34.72161984777176,112.93161984702799,5,43027816,1470.0,100.0,34.71667,112.9333,41657600,heishiguan,0.00089992800576,POINT (112.931619847028 34.72161984777176),52.578365
R43027816XS1857029,34.720085551248005,112.93083333319815,5,43027816,1470.0,100.0,34.71667,112.9333,41657600,heishiguan,0.00089992800576,POINT (112.9308333331982 34.720085551248),52.578365
R43027816XS1857030,34.71870283884232,112.9295361687144,5,43027816,1470.0,100.0,34.71667,112.9333,41657600,heishiguan,0.00089992800576,POINT (112.9295361687144 34.71870283884232),52.578365
R43027826XS1857304,34.709166667325974,112.60555461990454,0,43030084,35.0,100.0,34.71667,112.5833,41643400,baimasi,0.00089992800576,POINT (112.6055546199045 34.70916666732597),0.005345173
R43027826XS1857305,34.70916666729552,112.60391177104871,0,43030084,35.0,100.0,34.71667,112.5833,41643400,baimasi,0.00089992800576,POINT (112.6039117710487 34.70916666729552),0.005345173
R43027826XS1857306,34.70916666726019,112.60226891459989,0,43030084,35.0,100.0,34.71667,112.5833,41643400,baimasi,0.00089992800576,POINT (112.6022689145999 34.70916666726019),0.005345173
R43027970XS1858753,34.55773428699595,112.4727342841923,1,43027970,681.0,100.0,34.55,112.4667,41654600,longmenzhen,0.00089992800576,POINT (112.4727342841923 34.55773428699595),14.195982
R43027970XS1858754,34.55603411273677,112.47249999974053,1,43027970,681.0,100.0,34.55,112.4667,41654600,longmenzhen,0.00089992800576,POINT (112.4724999997405 34.55603411273677),14.195982
R43027970XS1858755,34.55426415435787,112.47249999985338,1,43027970,681.0,100.0,34.55,112.4667,41654600,longmenzhen,0.00089992800576,POINT (112.4724999998534 34.55426415435787),14.195982
R43044098XS1910918,32.30166666701941,115.74654984666518,6,43044098,1512.0,208.4318423,32.301211,115.747493,50500900,jiangjiaji,0.001875736521778,POINT (115.7465498466652 32.30166666701941),52.981815
R43044098XS1910919,32.30154118458572,115.74404118280843,6,43044098,1512.0,208.4318423,32.301211,115.747493,50500900,jiangjiaji,0.001875736521778,POINT (115.7440411828084 32.30154118458572),52.981815
